StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q13,Q1,Q2,Q3,Q4,Q6,Q8,,,,,,,,,
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for taking the time to complete this survey.  For our research, we are interested in knowing certain facts about you. Specifically, we are interested in whether you read directions carefully. So, in order to show us that you have read the instructions, please ignore this first question about attending university (don't answer it).  Also, please copy and paste the words É??I have read the instructionsÉ?ù (without the quotation marks) in the box labeled ""Any comments or questions?"" Thank you very much. 
Have you attended university?",Any comments or questions?,"Please read the following story and answer the
questions that follow.





Hank is taking his daily walk near the train tracks when he notices that the
train that is approaching is out of control. There are five men walking across
the tracks and the train is now rushing toward the five men. It is moving so
fast that they will not be able to get off the track in time. Hank is standing
next to a switch, which he can throw, that will turn the train onto a side
track, thereby preventing it from killing the five men. There is a man on the
side track. Hank can throw the switch, killing him; or he can refrain from
doing this, letting the five die. Hank throws the switch.

Is
it morally permissible for Hank to throw the switch?",Why do you think Hank threw the switch?,"Please read the following story and answer the
questions that follow.



Joe is taking his daily walk
near the train tracks when he notices that the train that is approaching is out
of control. There are five men walking across the tracks and the train is now
rushing toward the five men.  It is moving so fast that they will not be
able to get off the track in time. Joe is standing next to a switch, which he
can throw, that will turn the train onto a side track, thereby preventing it
from killing the five men. There is a man on the side track. Joe can throw the
switch, killing him; or he can refrain from doing this, letting the five men
die. Joe then recognizes that the five men are people who he deeply cares
about. Joe thinks to himself, É??This is my chance to save those people.É?ù Joe
throws the switch.

 
Is it morally permissible for Joe to throw the switch?",Why do you think Joe threw the switch?,"Please read the following
story and answer the questions that follow.


Mark is taking his daily walk near the train tracks when he notices that the
train that is approaching is out of control. There are five men walking across
the tracks and the train is now rushing toward the five men.  It is moving
so fast that they will not be able to get off the track in time. Mark is
standing next to a switch, which he can throw, that will turn the train onto a
side track, thereby preventing it from killing the five men. There is a man on
the side track. Mark can throw the switch, killing him; or he can refrain from
doing this, letting the five men die. Mark then recognizes that the man on the
side track is someone who he hates with a passion. Mark thinks to himself,
É??This is my chance to kill that bastard.É?ù Mark throws the switch.
Is it morally permissible for Mark to throw the switch?",Why do you think Mark threw the switch?,,,,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}",,,,,,,,,
11/23/2017 14:38,11/23/2017 14:39,0,*******,100,88,1,11/23/2017 14:39,R_1ItjDuh4J1T84GL,*******,*******,*******,*******,*******,*******,anonymous,EN,,É??I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 15:29,11/23/2017 15:30,0,*******,100,64,1,11/23/2017 15:30,R_1l5A7wrHNIqIPmr,*******,*******,*******,*******,*******,*******,anonymous,EN,,É??I have read the instructionsÉ?ù,1,1,,,,,,,,,,,,,
11/23/2017 15:44,11/23/2017 15:45,0,*******,100,56,1,11/23/2017 15:45,R_3sySVKhY06qcZbg,*******,*******,*******,*******,*******,*******,anonymous,EN,,É??I have read the instructionsÉ?ù ,1,1,,,,,,,,,,,,,
11/22/2017 20:11,11/22/2017 20:12,0,*******,100,39,1,11/22/2017 20:12,R_2y7zjMGQKM2petg,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,1,,,,,,,,,,,
11/22/2017 20:11,11/22/2017 20:12,0,*******,100,57,1,11/22/2017 20:12,R_2agHx8L8MFJgkCn,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/22/2017 20:12,11/22/2017 20:13,0,*******,100,46,1,11/22/2017 20:13,R_3NWKrAsw8UKRT7K,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/22/2017 20:13,11/22/2017 20:15,0,*******,100,82,1,11/22/2017 20:15,R_OvzXU6EWVeciJEZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/22/2017 20:11,11/22/2017 20:15,0,*******,100,216,1,11/22/2017 20:15,R_2UYtBtZcLgSnIyB,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
